Time,Node_ID,Event_Name,Individual_ID,Age,Gender,Infected,Infectiousness,RelativeBitingRate,TrueParasiteDensity,TrueGametocyteDensity,HasClinicalSymptoms
0,18,Emigrating,71,573.788,M,1,0,1,0,0,F
0,5,Emigrating,136,2183.82,M,0,0,1,0,0,F
0,3,Emigrating,4,22129.9,M,0,0,1,0,0,F
0,24,Immigrating,4,22129.9,M,0,0,1,0,0,F
0,2,Immigrating,136,2183.82,M,0,0,1,0,0,F
0,12,Immigrating,71,573.788,M,1,0,1,0,0,F
1,24,Emigrating,4,22130.9,M,0,0,1,0,0,F
1,23,Emigrating,50,1497.21,F,0,0,1,0,0,F
1,23,Emigrating,336,2428.62,F,0,0,1,0,0,F
1,20,Emigrating,73,5327.94,M,0,0,1,0,0,F
1,20,Emigrating,203,7190.54,M,0,0,1,0,0,F
1,13,Emigrating,170,3341.56,M,0,0,1,0,0,F
1,12,Emigrating,351,5154.19,M,0,0,1,0,0,F
1,12,Emigrating,71,574.788,M,1,0,1,0,0,F
1,9,Emigrating,114,4226.62,M,0,0,1,0,0,F
1,9,Emigrating,244,3169.27,M,0,0,1,0,0,F
1,6,Emigrating,137,3191.83,M,1,0,1,0,0,F
1,5,Emigrating,6,2129.13,M,0,0,1,0,0,F
1,2,Emigrating,3,28094,M,1,0,1,0,0,F
1,2,Emigrating,136,2184.82,M,0,0,1,0,0,F
1,5,Immigrating,136,2184.82,M,0,0,1,0,0,F
1,11,Immigrating,3,28094,M,1,0,1,0,0,F
1,8,Immigrating,6,2129.13,M,0,0,1,0,0,F
1,23,Immigrating,137,3191.83,M,1,0,1,0,0,F
1,2,Immigrating,244,3169.27,M,0,0,1,0,0,F
1,1,Immigrating,114,4226.62,M,0,0,1,0,0,F
1,18,Immigrating,71,574.788,M,1,0,1,0,0,F
1,2,Immigrating,351,5154.19,M,0,0,1,0,0,F
1,11,Immigrating,170,3341.56,M,0,0,1,0,0,F
1,4,Immigrating,203,7190.54,M,0,0,1,0,0,F
1,11,Immigrating,73,5327.94,M,0,0,1,0,0,F
1,19,Immigrating,336,2428.62,F,0,0,1,0,0,F
1,9,Immigrating,50,1497.21,F,0,0,1,0,0,F
1,3,Immigrating,4,22130.9,M,0,0,1,0,0,F
2,23,Emigrating,232,28934.6,F,0,0,1,0,0,F
2,23,Emigrating,137,3192.83,M,1,0,1,0,0,F
2,19,Emigrating,72,16062.6,F,0,0,1,0,0,F
2,19,Emigrating,336,2429.62,F,0,0,1,0,0,F
2,13,Emigrating,248,3327.48,M,0,0,1,0,0,F
2,13,Emigrating,196,9990.46,M,0,0,1,0,0,F
2,12,Emigrating,221,684.48,F,0,0,1,0,0,F
2,11,Emigrating,3,28095,M,1,0,1,0,0,F
2,11,Emigrating,73,5328.94,M,0,0,1,0,0,F
2,11,Emigrating,170,3342.56,M,0,0,1,0,0,F
2,8,Emigrating,139,920.892,F,0,0,1,0,0,F
2,8,Emigrating,6,2130.13,M,0,0,1,0,0,F
2,5,Emigrating,162,47031.5,M,0,0,1,0,0,F
2,2,Emigrating,55,30103.9,F,0,0,1,0,0,F
2,2,Emigrating,351,5155.19,M,0,0,1,0,0,F
2,1,Emigrating,114,4227.62,M,0,0,1,0,0,F
2,9,Immigrating,114,4227.62,M,0,0,1,0,0,F
2,12,Immigrating,351,5155.19,M,0,0,1,0,0,F
2,13,Immigrating,55,30103.9,F,0,0,1,0,0,F
2,13,Immigrating,162,47031.5,M,0,0,1,0,0,F
2,5,Immigrating,6,2130.13,M,0,0,1,0,0,F
2,19,Immigrating,139,920.892,F,0,0,1,0,0,F
2,13,Immigrating,170,3342.56,M,0,0,1,0,0,F
2,20,Immigrating,73,5328.94,M,0,0,1,0,0,F
2,2,Immigrating,3,28095,M,1,0,1,0,0,F
2,18,Immigrating,221,684.48,F,0,0,1,0,0,F
2,23,Immigrating,196,9990.46,M,0,0,1,0,0,F
2,12,Immigrating,248,3327.48,M,0,0,1,0,0,F
2,23,Immigrating,336,2429.62,F,0,0,1,0,0,F
2,4,Immigrating,72,16062.6,F,0,0,1,0,0,F
2,6,Immigrating,137,3192.83,M,1,0,1,0,0,F
2,18,Immigrating,232,28934.6,F,0,0,1,0,0,F
3,23,Emigrating,102,24489.7,F,0,0,1,0,0,F
3,18,Emigrating,253,4199.12,M,0,0,1,0,0,F
3,18,Emigrating,232,28935.6,F,0,0,1,0,0,F
3,18,Emigrating,221,685.48,F,0,0,1,0,0,F
3,13,Emigrating,118,1377.41,F,0,0,1,0,0,F
3,13,Emigrating,55,30104.9,F,0,0,1,0,0,F
3,13,Emigrating,162,47032.5,M,0,0,1,0,0,F
3,12,Emigrating,65,2852.44,M,0,0,1,0,0,F
3,9,Emigrating,62,3072.78,M,0,0,1,0,0,F
3,9,Emigrating,50,1499.21,F,0,0,1,0,0,F
3,8,Emigrating,113,3260.94,M,0,0,1,0,0,F
3,8,Emigrating,243,2624.96,F,0,0,1,0,0,F
3,6,Emigrating,7,15160.7,F,0,0,1,0,0,F
3,4,Emigrating,203,7192.54,M,0,0,1,0,0,F
3,4,Emigrating,72,16063.6,F,0,0,1,0,0,F
3,2,Emigrating,211,520.715,F,0,0,1,0,0,F
3,1,Immigrating,211,520.715,F,0,0,1,0,0,F
3,19,Immigrating,72,16063.6,F,0,0,1,0,0,F
3,20,Immigrating,203,7192.54,M,0,0,1,0,0,F
3,8,Immigrating,7,15160.7,F,0,0,1,0,0,F
3,15,Immigrating,243,2624.96,F,0,0,1,0,0,F
3,10,Immigrating,113,3260.94,M,0,0,1,0,0,F
3,23,Immigrating,50,1499.21,F,0,0,1,0,0,F
3,1,Immigrating,62,3072.78,M,0,0,1,0,0,F
3,5,Immigrating,65,2852.44,M,0,0,1,0,0,F
3,5,Immigrating,162,47032.5,M,0,0,1,0,0,F
3,2,Immigrating,55,30104.9,F,0,0,1,0,0,F
3,6,Immigrating,118,1377.41,F,0,0,1,0,0,F
3,12,Immigrating,221,685.48,F,0,0,1,0,0,F
3,23,Immigrating,232,28935.6,F,0,0,1,0,0,F
3,10,Immigrating,253,4199.12,M,0,0,1,0,0,F
3,10,Immigrating,102,24489.7,F,0,0,1,0,0,F
4,23,Emigrating,232,28936.6,F,0,0,1,0,0,F
4,19,Emigrating,150,4102.86,F,1,0,1,0,0,F
4,19,Emigrating,202,1448.39,M,1,0,1,0,0,F
4,15,Emigrating,243,2625.96,F,0,0,1,0,0,F
4,13,Emigrating,170,3344.56,M,0,0,1,0,0,F
4,12,Emigrating,248,3329.48,M,0,0,1,0,0,F
4,9,Emigrating,36,14454.9,F,0,0,1,0,0,F
4,8,Emigrating,7,15161.7,F,0,0,1,0,0,F
4,5,Emigrating,136,2187.82,M,0,0,1,0,0,F
4,5,Emigrating,65,2853.44,M,0,0,1,0,0,F
4,2,Emigrating,244,3172.27,M,0,0,1,0,0,F
4,1,Emigrating,211,521.715,F,0,0,1,0,0,F
4,1,Emigrating,62,3073.78,M,0,0,1,0,0,F
4,9,Immigrating,62,3073.78,M,0,0,1,0,0,F
4,2,Immigrating,211,521.715,F,0,0,1,0,0,F
4,9,Immigrating,244,3172.27,M,0,0,1,0,0,F
4,12,Immigrating,65,2853.44,M,0,0,1,0,0,F
4,9,Immigrating,136,2187.82,M,0,0,1,0,0,F
4,6,Immigrating,7,15161.7,F,0,0,1,0,0,F
4,24,Immigrating,36,14454.9,F,0,0,1,0,0,F
4,13,Immigrating,248,3329.48,M,0,0,1,0,0,F
4,4,Immigrating,170,3344.56,M,0,0,1,0,0,F
4,8,Immigrating,243,2625.96,F,0,0,1,0,0,F
4,8,Immigrating,202,1448.39,M,1,0,1,0,0,F
4,8,Immigrating,150,4102.86,F,1,0,1,0,0,F
4,3,Immigrating,232,28936.6,F,0,0,1,0,0,F
5,24,Emigrating,181,6241.09,F,0,0,1,0,0,F
5,24,Emigrating,36,14455.9,F,0,0,1,0,0,F
5,23,Emigrating,196,9993.46,M,0,0,1,0,0,F
5,18,Emigrating,45,923.95,M,0,0,1,0,0,F
5,15,Emigrating,94,3164.78,M,0,0,1,0,0,F
