Time, NodeID, Population, VectorPopulation, AdultCount, InfectedCount, InfectiousCount, MaleCount, NewEggsCount, IndoorBitesCount, OutdoorBitesCount, MigrationFromCountLocal, MigrationFromCountRegional, SillySkeeter_AvailableHabitat, SillySkeeter_EggCrowdingCorrection
0,3,0,1,1,0,0,1,0,0,0,0,0,4.41e+06,1
0,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
0,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
1,3,0,1,1,0,0,1,0,0,0,0,0,4.41e+06,1
1,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
1,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
2,3,0,1,1,0,0,1,0,0,0,0,0,4.41e+06,1
2,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
2,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
3,3,0,1,1,0,0,1,0,0,0,0,0,4.41e+06,1
3,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
3,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
4,3,0,1,1,0,0,1,0,0,0,0,0,4.41e+06,1
4,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
4,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
5,3,0,1,1,0,0,1,0,0,0,0,0,4.41e+06,1
5,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
5,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
6,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
6,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
6,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
7,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
7,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
7,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
8,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
8,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
8,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
9,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
9,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
9,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
10,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
10,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
10,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
11,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
11,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
11,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
12,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
12,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
12,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
13,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
13,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
13,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
14,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
14,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
14,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
15,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
15,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
15,1,1,1,1,0,0,1,0,1,0,0,0,4.41e+06,1
16,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
16,2,1,0,0,0,0,0,0,0,0,0,0,4.41e+06,1
16,1,1,1,0,1,0,1,0,1,0,0,0,4.41e+06,1
17,3,0,1,1,0,0,0,0,0,0,0,0,4.41e+06,1
