Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,*AAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
0,340461476,1000,8759,0,0,8759,8983,0,0,612400,306200,2919,0,0,0,0,0,948,293,0,0,0,19487.5,1,0,0,0,0,0,0,0,2919,0,0,0,0,0,0,0,0,0,0
1,340461476,1000,7645,0,0,7645,8170,0,19548,542200,271100,2573,0,0,0,0,0,860,254,0,0,0,9159.76,0.0318215,0,0,0,7645,0,0,0,2573,0,0,0,0,0,0,0,0,0,0
2,340461476,1000,6714,0,0,6714,7395,0,26793,482000,241000,2292,0,0,0,0,0,680,251,0,0,0,10802.8,0.0168937,0,0,0,6714,0,0,0,2292,0,0,0,0,0,0,0,0,0,0
3,340461476,1000,5849,0,0,5849,6636,0,35123,416000,208000,1954,0,0,0,0,0,660,205,0,0,0,11040.6,0.0224125,0,0,0,5849,0,0,0,1954,0,0,0,0,0,0,0,0,0,0
4,340461476,1000,5109,0,0,5109,6032,0,42832,368800,184400,1767,0,0,0,0,0,573,167,0,0,0,11590.7,0.0265399,0,0,0,5109,0,0,0,1767,0,0,0,0,0,0,0,0,0,0
5,340461476,1000,4486,0,0,4486,5478,0,50437,315800,157900,1504,0,0,0,0,0,484,139,0,0,0,11947.1,0.0314281,0,0,0,4486,0,0,0,1504,0,0,0,0,0,0,0,0,0,0
6,340461476,1000,3962,0,0,3962,4935,0,57608,282200,141100,1330,0,0,0,0,0,401,123,0,0,0,12450.7,0.0378314,0,0,0,3962,0,0,0,1330,0,0,0,0,0,0,0,0,0,0
7,340461476,1000,3452,0,0,3452,4478,0,64467,246000,123000,1166,0,0,0,0,0,383,127,0,0,0,12989.8,0.0441202,0,0,0,3452,0,0,0,1166,0,0,0,0,0,0,0,0,0,0
8,340461476,1000,3010,0,0,3010,4058,0,71274,217600,108800,1028,0,0,0,0,0,343,99,0,0,0,13314.2,0.0528039,0,0,0,3010,0,0,0,1028,0,0,0,0,0,0,0,0,0,0
9,340461476,1000,2628,0,0,2628,3680,0,77739,186200,93100,880,0,0,0,0,0,297,85,0,0,0,13723.7,0.0611867,0,0,0,2628,0,0,0,880,0,0,0,0,0,0,0,0,0,0
10,340461476,1000,2304,0,0,2304,3331,0,84219,157000,78500,743,0,0,0,0,0,253,71,0,0,0,13870.5,0.0737042,0,0,0,2304,0,0,0,743,0,0,0,0,0,0,0,0,0,0
