Time, IndividualID, AgeYears, Gender, IsAdult, Home_NodeID, From_NodeID, To_NodeID, MigrationType, Event
0,803,69.5549,F,T,9,9,6,local,Emigrating
0,805,37.3665,M,T,9,9,2,regional,Emigrating
0,810,60.1768,F,T,9,9,4,regional,Emigrating
0,813,55.8188,M,T,9,9,4,regional,Emigrating
0,818,14.815,M,F,9,9,2,regional,Emigrating
0,827,68.6347,M,T,9,9,6,regional,Emigrating
0,829,63.9499,F,T,9,9,6,regional,Emigrating
0,830,22.4353,F,T,9,9,3,regional,Emigrating
0,893,29.6723,F,T,9,9,6,local,Emigrating
0,892,27.3322,F,T,9,9,8,local,Emigrating
0,833,49.3445,F,T,9,9,6,regional,Emigrating
0,834,65.041,M,T,9,9,6,regional,Emigrating
0,838,1.26658,M,F,9,9,1,regional,Emigrating
0,839,68.1613,F,T,9,9,8,local,Emigrating
0,840,85.6208,F,T,9,9,6,local,Emigrating
0,846,66.3111,M,T,9,9,6,regional,Emigrating
0,885,43.7056,F,T,9,9,6,local,Emigrating
0,849,59.4801,F,T,9,9,6,regional,Emigrating
0,854,13.6824,F,F,9,9,8,local,Emigrating
0,860,16.6611,M,T,9,9,3,regional,Emigrating
0,864,52.9712,M,T,9,9,5,regional,Emigrating
0,865,31.5554,F,T,9,9,8,local,Emigrating
0,870,70.8412,F,T,9,9,8,local,Emigrating
0,875,76.7661,F,T,9,9,8,local,Emigrating
0,704,62.8798,M,T,8,8,5,local,Emigrating
0,706,99.3416,M,T,8,8,7,local,Emigrating
0,708,22.9102,F,T,8,8,2,regional,Emigrating
0,719,78.3845,F,T,8,8,4,regional,Emigrating
0,721,19.997,F,T,8,8,1,regional,Emigrating
0,796,20.5738,F,T,8,8,1,regional,Emigrating
0,722,27.3792,M,T,8,8,1,regional,Emigrating
0,731,19.7572,F,T,8,8,2,regional,Emigrating
0,732,38.1087,F,T,8,8,3,regional,Emigrating
0,792,28.9621,M,T,8,8,2,regional,Emigrating
0,733,29.6019,F,T,8,8,1,regional,Emigrating
0,735,36.2802,M,T,8,8,7,local,Emigrating
0,789,19.4017,M,T,8,8,3,regional,Emigrating
0,736,30.412,F,T,8,8,3,regional,Emigrating
0,739,47.4148,M,T,8,8,4,regional,Emigrating
0,786,28.2001,M,T,8,8,9,local,Emigrating
0,742,113.628,M,T,8,8,7,local,Emigrating
0,752,50.738,F,T,8,8,4,regional,Emigrating
0,783,75.7407,F,T,8,8,5,regional,Emigrating
0,754,112.8,M,T,8,8,7,local,Emigrating
0,781,47.1131,M,T,8,8,9,local,Emigrating
0,762,52.846,M,T,8,8,7,local,Emigrating
0,779,115.106,M,T,8,8,9,local,Emigrating
0,767,56.8217,F,T,8,8,5,regional,Emigrating
0,777,59.954,M,T,8,8,5,local,Emigrating
0,769,104.209,M,T,8,8,7,local,Emigrating
0,773,69.6092,M,T,8,8,5,local,Emigrating
0,604,61.8447,M,T,7,7,5,regional,Emigrating
0,700,12.2391,M,F,7,7,3,regional,Emigrating
0,605,10.63,M,F,7,7,3,regional,Emigrating
0,607,47.0339,M,T,7,7,6,regional,Emigrating
0,608,34.8211,F,T,7,7,4,local,Emigrating
0,614,52.0554,F,T,7,7,4,local,Emigrating
0,617,22.8158,F,T,7,7,2,regional,Emigrating
0,618,76.5408,F,T,7,7,4,regional,Emigrating
0,620,51.686,M,T,7,7,5,regional,Emigrating
0,692,62.7222,F,T,7,7,4,local,Emigrating
0,622,44.7367,F,T,7,7,8,local,Emigrating
0,633,4.43505,F,F,7,7,3,regional,Emigrating
0,636,39.548,F,T,7,7,4,local,Emigrating
0,638,11.0136,M,F,7,7,2,regional,Emigrating
0,687,93.643,F,T,7,7,8,local,Emigrating
0,639,25.3379,F,T,7,7,1,regional,Emigrating
0,652,21.146,F,T,7,7,2,regional,Emigrating
0,684,30.451,F,T,7,7,4,local,Emigrating
0,655,38.9705,M,T,7,7,1,regional,Emigrating
0,666,36.5822,F,T,7,7,2,regional,Emigrating
0,669,14.3569,F,F,7,7,3,regional,Emigrating
0,672,17.2787,M,T,7,7,3,regional,Emigrating
0,676,20.5495,M,T,7,7,1,regional,Emigrating
0,678,61.6578,M,T,7,7,6,regional,Emigrating
0,505,118.455,F,T,6,6,8,regional,Emigrating
0,600,20.3669,M,T,6,6,9,local,Emigrating
0,599,83.5361,F,T,6,6,9,regional,Emigrating
0,598,6.37462,M,F,6,6,5,local,Emigrating
0,507,18.561,F,T,6,6,2,regional,Emigrating
0,596,117.434,M,T,6,6,5,local,Emigrating
0,510,20.708,F,T,6,6,1,regional,Emigrating
0,514,26.3201,M,T,6,6,2,regional,Emigrating
0,515,42.3096,M,T,6,6,3,local,Emigrating
0,592,83.1618,M,T,6,6,3,local,Emigrating
0,591,84.2268,F,T,6,6,8,regional,Emigrating
0,590,34.7202,M,T,6,6,1,regional,Emigrating
0,520,46.9083,M,T,6,6,5,local,Emigrating
0,588,68.7357,M,T,6,6,5,local,Emigrating
0,523,103.746,M,T,6,6,9,local,Emigrating
0,526,72.5386,M,T,6,6,9,local,Emigrating
0,531,109.096,F,T,6,6,8,regional,Emigrating
0,536,84.9033,M,T,6,6,3,local,Emigrating
0,537,29.7509,M,T,6,6,1,regional,Emigrating
0,582,59.78,M,T,6,6,3,local,Emigrating
0,581,117.774,F,T,6,6,9,regional,Emigrating
0,580,87.3125,M,T,6,6,3,local,Emigrating
0,538,98.4294,M,T,6,6,5,local,Emigrating
0,540,90.4818,M,T,6,6,9,local,Emigrating
0,543,112.044,M,T,6,6,8,regional,Emigrating
0,545,88.0377,F,T,6,6,7,regional,Emigrating
0,547,98.0285,M,T,6,6,7,regional,Emigrating
0,574,98.9378,F,T,6,6,9,regional,Emigrating
0,573,48.7091,M,T,6,6,5,local,Emigrating
0,552,51.9013,M,T,6,6,5,local,Emigrating
0,553,20.6869,M,T,6,6,3,regional,Emigrating
0,554,57.9202,M,T,6,6,3,local,Emigrating
0,556,57.4482,M,T,6,6,3,local,Emigrating
0,558,54.2341,M,T,6,6,3,local,Emigrating
0,562,114.534,M,T,6,6,7,regional,Emigrating
0,563,58.3145,M,T,6,6,5,local,Emigrating
0,404,95.2385,M,T,5,5,9,regional,Emigrating
0,500,118.571,F,T,5,5,6,local,Emigrating
0,499,3.44202,M,F,5,5,2,regional,Emigrating
0,407,12.289,F,F,5,5,8,local,Emigrating
0,411,0.82753,M,F,5,5,3,regional,Emigrating
0,496,115.601,F,T,5,5,2,local,Emigrating
0,417,12.1672,M,F,5,5,2,regional,Emigrating
0,494,83.4772,F,T,5,5,8,regional,Emigrating
0,422,78.4619,F,T,5,5,8,local,Emigrating
0,492,116.902,M,T,5,5,8,regional,Emigrating
0,491,101.638,F,T,5,5,6,local,Emigrating
0,490,74.3347,F,T,5,5,8,local,Emigrating
0,425,51.5044,F,T,5,5,6,local,Emigrating
0,426,27.5469,M,T,5,5,1,regional,Emigrating
0,430,71.0335,F,T,5,5,4,local,Emigrating
0,486,34.1847,M,T,5,5,3,regional,Emigrating
0,438,84.48,F,T,5,5,9,regional,Emigrating
0,444,84.2266,F,T,5,5,2,local,Emigrating
0,483,60.3357,F,T,5,5,4,local,Emigrating
0,482,114.341,M,T,5,5,7,regional,Emigrating
0,457,94.8001,F,T,5,5,7,regional,Emigrating
0,480,74.2907,F,T,5,5,2,local,Emigrating
0,459,27.8295,F,T,5,5,4,local,Emigrating
0,460,11.53,F,F,5,5,3,regional,Emigrating
0,473,80.8954,F,T,5,5,9,regional,Emigrating
0,302,94.4148,F,T,4,4,9,regional,Emigrating
0,309,47.3978,M,T,4,4,1,local,Emigrating
0,311,17.3145,M,T,4,4,3,regional,Emigrating
0,314,99.7572,M,T,4,4,8,regional,Emigrating
0,319,33.0046,F,T,4,4,2,regional,Emigrating
0,396,65.1135,M,T,4,4,7,local,Emigrating
